"cid"	"pid1"	"pid2"	"relation"	"location"	"locid"	"department"	"startdate"	"stopdate"	"addedby"	"dateadded"
"85"	"84"	"19"	"2"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:54:20"
"86"	"86"	"85"	"2"	"Max Planck Institute"	"150"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 20:57:14"
"87"	"87"	"52"	"2"	"University of Cambridge"	"370"	\N	"1986-00-00"	"1990-00-00"	"david"	"2005-01-15 21:01:29"
"88"	"88"	"87"	"2"	"Cornell University"	"56"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:02:52"
"89"	"88"	"16"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:03:09"
"90"	"33"	"89"	"2"	"University of California, San Francisco"	"318"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:04:33"
"91"	"89"	"90"	"2"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:05:23"
"92"	"7"	"90"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:05:40"
"94"	"91"	"90"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:08:11"
"95"	"91"	"76"	"2"	"Salk Institute for Biological Studies"	"258"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:08:32"
"96"	"92"	"43"	"1"	"University of California, Berkeley"	"312"	\N	"1979-00-00"	"1986-00-00"	"hayden"	"2005-01-15 21:14:18"
"97"	"31"	"94"	"2"	"Harvard Medical School"	"84"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 21:19:25"
"98"	"88"	"86"	"4"	"Montana State University"	"177"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:21:42"
"99"	"96"	"95"	"2"	"University of California, San Francisco"	"318"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 21:24:19"
"101"	"31"	"98"	"1"	"Columbia University"	"54"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:26:35"
"102"	"99"	"97"	"2"	"New York University"	"221"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-15 21:28:03"
"103"	"100"	"102"	"1"	"University of Tuebingen"	"457"	\N	"0000-00-00"	"1982-00-00"	"hayden"	"2005-01-15 21:32:48"
"104"	"104"	"64"	"2"	"Rockefeller University"	"253"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:38:12"
"105"	"105"	"3"	"1"	"University of California, Berkeley"	"312"	""	"2002-00-00"	"2007-00-00"	"david"	"2005-01-15 21:43:37"
"106"	"33"	"3"	"4"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"david"	"2005-01-15 21:44:00"
"108"	"106"	"7"	"2"	"Yale University"	"507"	\N	"2005-00-00"	"0000-00-00"	"david"	"2005-01-15 21:47:37"
"109"	"34"	"51"	"1"	"New York University"	"221"	""	"0000-00-00"	"2007-00-00"	"david"	"2005-01-15 21:48:15"
"111"	"108"	"3"	"2"	"University of California, Berkeley"	"312"	\N	"2005-00-00"	"0000-00-00"	"hayden"	"2005-01-16 01:17:01"
"112"	"109"	"107"	"2"	"University of Minnesota"	"406"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 01:20:57"
"113"	"112"	"65"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 01:26:43"
"114"	"64"	"112"	"4"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 01:27:10"
"115"	"113"	"112"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 01:29:12"
"116"	"114"	"115"	"1"	"University of Oxford"	"228"	\N	"1925-00-00"	"1931-00-00"	"hayden"	"2005-01-16 01:40:07"
"117"	"116"	"117"	"2"	"University of Cambridge"	"370"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 01:43:33"
"118"	"118"	"119"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 10:53:31"
"119"	"119"	"120"	"2"	"Johns Hopkins University"	"117"	\N	"1914-00-00"	"1916-00-00"	"hayden"	"2005-01-16 10:56:38"
"120"	"119"	"28180"	"1"	"Johns Hopkins University"	"117"	\N	"0000-00-00"	"1914-00-00"	"hayden"	"2005-01-16 10:57:27"
"121"	"120"	"122"	"1"	"University of Chicago"	"3797"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 11:10:53"
"122"	"123"	"31"	"2"	"University of California, Berkeley"	"312"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 11:47:20"
"123"	"122"	"124"	"0"	"University of Chicago"	"3797"	\N	"0000-00-00"	"1891-00-00"	"hayden"	"2005-01-16 11:58:05"
"124"	"122"	"125"	"1"	"Harvard University"	"86"	\N	"0000-00-00"	"1892-00-00"	"hayden"	"2005-01-16 12:01:05"
"125"	"125"	"126"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:09:55"
"126"	"127"	"118"	"1"	"California Institute of Technology"	"33"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:17:06"
"127"	"128"	"61"	"2"	"National Institutes of Health"	"212"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:30:18"
"128"	"61"	"111"	"1"	"McGill University"	"160"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:31:07"
"129"	"61"	"129"	"1"	"Stanford University"	"277"	\N	"1949-00-00"	"1951-00-00"	"hayden"	"2005-01-16 12:35:11"
"130"	"53604"	"33687"	"1"	"Utrecht University"	"345"	\N	"0000-00-00"	"1997-00-00"	"hayden"	"2005-01-16 12:46:36"
"131"	"130"	"131"	"4"	"University of Chicago"	"3797"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:50:47"
"132"	"35"	"129"	"1"	"Yale University"	"507"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:52:48"
"133"	"129"	"119"	"2"	"Harvard University"	"86"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 12:58:41"
"134"	"16"	"15"	"1"	"University College London"	"346"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:02:21"
"135"	"16"	"132"	"4"	"Washington University, Saint Louis"	"497"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:04:53"
"136"	"15"	"133"	"4"	"University College London"	"346"	\N	"1978-00-00"	"1978-00-00"	"hayden"	"2005-01-16 13:11:31"
"137"	"133"	"134"	"1"	"Kraepelin Institute (Munich)"	"129"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:13:45"
"138"	"135"	"134"	"1"	"Kraepelin Institute (Munich)"	"129"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:15:40"
"139"	"136"	"134"	"1"	"Max Planck Institute"	"150"	\N	"0000-00-00"	"0000-00-00"	"hayden"	"2005-01-16 13:20:34"
